chart_id,body,expected_longitude,actual_longitude,deviation_deg,deviation_arcsec,tolerance_deg,within_tolerance
mumbai_2000,Venus,258.4312,258.4307,0.0005,1.76,0.01,PASS
mumbai_2000,Mars,338.7194,338.7201,0.0007,2.46,0.01,PASS
mumbai_2000,Jupiter,26.1342,26.1352,0.001,3.68,0.01,PASS
mumbai_2000,Saturn,40.2979,40.2985,0.0006,2.04,0.01,PASS
mumbai_2000,Uranus,315.5444,315.5414,0.003,10.92,0.01,PASS
mumbai_2000,Neptune,303.7027,303.7051,0.0024,8.72,0.01,PASS
mumbai_2000,Pluto,251.9141,251.9141,0.0,0.14,0.01,PASS
sydney_2010,Sun,273.1123,273.1126,0.0003,0.94,0.01,PASS
sydney_2010,Moon,141.5017,141.5023,0.0006,2.02,0.02,PASS
sydney_2010,Mercury,261.9748,261.9755,0.0007,2.36,0.01,PASS
sydney_2010,Venus,227.1159,227.1158,0.0001,0.26,0.01,PASS
sydney_2010,Mars,283.004,283.0043,0.0003,1.2,0.01,PASS
sydney_2010,Jupiter,355.6819,355.6817,0.0002,0.54,0.01,PASS
sydney_2010,Saturn,196.3129,196.3117,0.0012,4.17,0.01,PASS
sydney_2010,Uranus,356.8262,356.8259,0.0003,1.22,0.01,PASS
sydney_2010,Neptune,326.5473,326.5519,0.0046,16.55,0.01,PASS
sydney_2010,Pluto,275.0806,275.0805,0.0001,0.29,0.01,PASS
tokyo_1990,Sun,38.3056,38.3054,0.0002,0.64,0.01,PASS
tokyo_1990,Moon,90.2108,90.2108,0.0,0.12,0.02,PASS
tokyo_1990,Mercury,46.1737,46.1737,0.0,0.09,0.01,PASS
tokyo_1990,Venus,354.113,354.1134,0.0004,1.6,0.01,PASS
tokyo_1990,Mars,335.9459,335.9463,0.0004,1.47,0.01,PASS
tokyo_1990,Jupiter,96.588,96.5881,0.0001,0.42,0.01,PASS
tokyo_1990,Saturn,295.3086,295.3086,0.0,0.07,0.01,PASS
tokyo_1990,Uranus,279.495,279.4937,0.0013,4.54,0.01,PASS
tokyo_1990,Neptune,284.5327,284.5324,0.0003,1.05,0.01,PASS
tokyo_1990,Pluto,226.6324,226.6331,0.0007,2.4,0.01,PASS
boston_1900,Sun,102.2131,102.213,0.0001,0.49,0.01,PASS
boston_1900,Moon,188.9166,188.9175,0.0009,3.3,0.02,PASS
boston_1900,Mercury,128.246,128.2452,0.0008,2.94,0.01,PASS
boston_1900,Venus,108.1032,108.1034,0.0002,0.85,0.01,PASS
boston_1900,Mars,65.1771,65.1767,0.0004,1.53,0.01,PASS
boston_1900,Jupiter,241.9071,241.9086,0.0015,5.28,0.01,PASS
boston_1900,Saturn,270.9459,270.9433,0.0026,9.35,0.01,PASS
boston_1900,Uranus,249.2149,249.2158,0.0009,3.11,0.01,PASS
boston_1900,Neptune,87.3186,87.3191,0.0005,1.89,0.01,PASS
boston_1900,Pluto,76.7936,76.7946,0.001,3.44,0.01,PASS
greenwich_y2k,Sun,279.8592,279.859,0.0002,0.59,0.01,PASS
greenwich_y2k,Moon,217.2933,217.2934,0.0001,0.31,0.02,PASS
greenwich_y2k,Mercury,271.1118,271.1114,0.0004,1.31,0.01,PASS
greenwich_y2k,Venus,240.9614,240.9609,0.0005,1.96,0.01,PASS
greenwich_y2k,Mars,327.5755,327.5761,0.0006,2.03,0.01,PASS
greenwich_y2k,Jupiter,25.2331,25.2342,0.0011,4.12,0.01,PASS
greenwich_y2k,Saturn,40.4058,40.4063,0.0005,1.88,0.01,PASS
greenwich_y2k,Uranus,314.7841,314.781,0.0031,11.2,0.01,PASS
greenwich_y2k,Neptune,303.1752,303.1777,0.0025,8.94,0.01,PASS
greenwich_y2k,Pluto,251.4372,251.4371,0.0001,0.26,0.01,PASS
samoa_skipped_day,Sun,278.8966,278.8965,0.0001,0.44,0.01,PASS
samoa_skipped_day,Moon,354.5384,354.5388,0.0004,1.45,0.02,PASS
samoa_skipped_day,Mercury,258.453,258.4531,0.0001,0.42,0.01,PASS
samoa_skipped_day,Venus,312.5439,312.5441,0.0002,0.64,0.01,PASS
samoa_skipped_day,Mars,169.8572,169.8571,0.0001,0.38,0.01,PASS
samoa_skipped_day,Jupiter,30.4088,30.4089,0.0001,0.32,0.01,PASS
samoa_skipped_day,Saturn,208.2231,208.2227,0.0004,1.48,0.01,PASS
samoa_skipped_day,Uranus,0.8248,0.8241,0.0007,2.34,0.01,PASS
samoa_skipped_day,Neptune,328.8607,328.8652,0.0045,16.09,0.01,PASS
samoa_skipped_day,Pluto,277.2864,277.2863,0.0001,0.3,0.01,PASS
anchorage_winter,Sun,269.9521,269.952,0.0001,0.47,0.01,PASS
anchorage_winter,Moon,30.6509,30.6508,0.0001,0.2,0.02,PASS
anchorage_winter,Mercury,249.1538,249.154,0.0002,0.75,0.01,PASS
anchorage_winter,Venus,263.0641,263.0642,0.0001,0.45,0.01,PASS
anchorage_winter,Mars,214.3642,214.3638,0.0004,1.43,0.01,PASS
anchorage_winter,Jupiter,316.1593,316.159,0.0003,1.05,0.01,PASS
anchorage_winter,Saturn,244.0662,244.0673,0.0011,3.86,0.01,PASS
anchorage_winter,Uranus,258.8999,258.8985,0.0014,5.19,0.01,PASS
anchorage_winter,Neptune,273.2035,273.2012,0.0023,8.24,0.01,PASS
anchorage_winter,Pluto,216.6578,216.6587,0.0009,3.11,0.01,PASS
